1	en	zh	 contagious 	可传染 : 有传染性|传染性|传染
2	en	zh	 active cases 	现有病例
3	en	zh	 confirmed cases 	确诊病例|确诊的COVID-19感染病例|确诊COVID-19病例|确诊的16例病例
4	en	zh	 CDC 	CDC|美国疾病预防与控制中心|美国疾控中心(CDC)
5	en	zh	 COVID-19 	新型冠状病毒肺炎 (COVID-19) : 新冠肺炎 (COVID-19) : COVID-19|COVID-19|COVID-1
6	en	zh	 COVID-19 testing center 	COVID-19 检测中心
7	en	zh	 Coronavirus 	新型冠状病毒 (COVID-19) [when referring COVID-19] : 冠状病毒 [when referring the generic virus group]|冠状病毒|coronavirus|新型冠状病毒|新冠病毒
8	en	zh	 face mask 	口罩
9	en	zh	 healthcare provider 	医疗服务提供方
10	en	zh	 healthcare professional 	专业医护人员|医护专业人员
11	en	zh	 hand-washing 	洗手|洗完手
12	en	zh	 incubation period 	潜伏期
13	en	zh	 isolation 	隔离
14	en	zh	 quarantine 	隔离|检疫
15	en	zh	 NIH 	NIH
16	en	zh	 close contact 	密切接触|密切的接触|近距离接触
17	en	zh	 transmission 	传播|传|传染
18	en	zh	 deaths 	死亡人数|例死亡|死亡病例|死亡|例确诊死亡|人死亡|死亡17例|死亡约9.7万人|死亡数|死亡15,887例|病例死亡
19	en	zh	 testing center 	检测中心
20	en	zh	 spread 	扩散|传播|扩散蔓延
21	en	zh	 do the Five 	做好五件事
22	en	zh	 World Health Organization 	世界卫生组织
23	en	zh	 WHO 	WHO
24	en	zh	 14 days in isolation 	隔离14天
25	en	zh	 14 days quarantine 	14天隔离
26	en	zh	 2019 Coronavirus 	2019冠状病毒
27	en	zh	 2019 novel Coronavirus 	2019新型冠状病毒
28	en	zh	 2019-nCoV 	2019新型冠状病毒|2019-nCoV
29	en	zh	 2020 Coronavirus 	2020冠状病毒
30	en	zh	 2020 novel Coronavirus 	2020新型冠状病毒
31	en	zh	 about Coronavirus 	关于冠状病毒
32	en	zh	 acute respiratory distress syndrome 	急性呼吸窘迫综合征
33	en	zh	 advanced hand sanitizer 	强效消毒洗手液
34	en	zh	 affected by Coronavirus 	感染冠状病毒
35	en	zh	 after exposure 	接触后
36	en	zh	 after the epidemic 	流行之后
37	en	zh	 after the outbreak 	暴发后
38	en	zh	 airborne virus 	空气传播病毒
39	en	zh	 alcohol based hand sanitizer 	含酒精消毒洗手液
40	en	zh	 alcohol hand sanitizer 	酒精消毒洁洗手液
41	en	zh	 alcohol-based hand sanitizer 	含酒精消毒洗手液|酒精洗手液|含酒精洗手液
42	en	zh	 Anti-Corona virus spray 	防冠状病毒喷雾
43	en	zh	 antibacterial hand sanitizer 	抗菌消毒洗手液
44	en	zh	 Ards 	ARDS
45	en	zh	 avoid exposure 	避免接触
46	en	zh	 be infected 	被感染|感染
47	en	zh	 beware of Coronavirus 	警惕冠状病毒
48	en	zh	 bilateral interstitial pneumonia 	双侧间质性肺炎
49	en	zh	 center for Disease Control 	疾病控制中心
50	en	zh	 Community spread 	社区传播
51	en	zh	 compulsory quarantine 	强制隔离
52	en	zh	 Coronavirus (COVID-19) 	冠状病毒(COVID-19)
53	en	zh	 Coronavirus alert 	冠状病毒警告
54	en	zh	 Coronavirus cases 	冠状病毒病例|新型冠状病毒病例
55	en	zh	 Coronavirus concerns 	冠状病毒问题
56	en	zh	 Coronavirus crisis 	冠状病毒危机
57	en	zh	 Coronavirus disease 	冠状病毒病|冠状病毒疾病|新型冠状病毒疾病
58	en	zh	 Coronavirus disease (COVID-19) outbreak 	新冠肺炎(COVID-19)暴发
59	en	zh	 Coronavirus early symptoms 	冠状病毒早期症状
60	en	zh	 Coronavirus epidemic 	冠状病毒流行
61	en	zh	 Coronavirus exposure 	冠状病毒接触
